,category,token
1213,adj,algarvio
1214,nc,algazarra
1215,v,algazarrar
1216,nc,álgebra
1217,adv,algebricamente
1218,adj,algébrico
1219,v,algebrizar
1220,nc,algema
1221,v,algemar
1222,nc,algibeira
1223,adv,algo
1224,pind,algo
1225,nc,algodão
1226,nc,algodão-doce
1227,nc,algodoeiro
1228,nc,algoritmia
1229,adj,algorítmico
1230,nc,algoritmo
1231,nc,algoz
1232,pind,alguém
1233,nc,alguidar
1234,pind,algum
1235,adv,algures
1236,nc,alhada
1237,nc,alheamento
1238,v,alhear
1239,adj,alheável
1240,nc,alheio
1241,nc,alheira
1242,nc,alheiro
1243,nc,alheta
1244,nc,alho
1245,nc,alho-porro
1246,nc,alhos-porros
1247,nc,aliança
1248,v,aliar
1249,adv,aliás
1250,adv,ali
1251,nc,alibilidade
1252,nc,álibi
1253,nc,alicate
1254,v,alicerçar
1255,nc,alicerce
1256,nc,aliciação
1257,a,aliciador
1258,a,aliciante
1259,v,aliciar
1260,nc,alienabilidade
1261,a,alienante
1262,v,alienar
1263,nc,alienatário
1264,adj,alienatório
1265,a,alienígena
1266,nc,alienismo
1267,a,alienista
1268,v,aligeirar
1269,v,alijar
1270,adj,alimentador
1271,v,alimentar
1272,adj,alimentício
1273,nc,alimentividade
1274,nc,alimento
1275,adj,alimentoso
1276,v,alimpar
1277,v,alindar
1278,nc,alínea
1279,v,alinhar
1280,v,alinhavar
1281,nc,alinhavo
1282,v,alisar
1283,adj,alísio
1284,v,alistar
1285,v,aliviar
1286,nc,alívio
1287,v,aljofrar
1288,a,aljubarrotense
1289,adj,almaço
1290,nc,almanaque
1291,nc,alma
1292,adj,almejante
1293,v,almejar
1294,nc,almejo
1295,nc,alminhas
1296,nc,almirantado
1297,nc,almiranta
1298,nc,almirante
1299,nc,almiscarar
1300,nc,almiscareiro
1301,nc,almíscar
1302,v,almoçar
1303,a,almoçadeira
1304,nc,almoço
1305,v,almocrevar
1306,nc,almocreve
1307,nc,almofada
1308,nc,almofadão
1309,v,almofadar
1310,nc,almofadilha
1311,nc,almofariz
1312,nc,almôndega
1313,nc,almotolia
1314,nc,almude
1315,v,alocar
1316,nc,alocução
1317,nc,alogamia
1318,in,alô
1319,v,alojar
1320,nc,alojo
1321,v,alombar
1322,v,alongar
